FarmName,FieldName,PlotName,Nrate_lbAc
,,,
Branton,302-3,R0,variable
,,,
Branton,302-3,R1,variable
,,,
Branton,302-3,R2,37
,,,
Branton,302-3,R3,25
,,,
Branton,302-3,R4,62
,,,
Branton,302-3,R5,50
,,,
Branton,302-3,R6,variable
,,,
Branton,302-3,R7,37
,,,
Branton,302-3,R8,25
,,,
Branton,302-3,R9,variable
,,,
Macauley,Ntrials,1,150
,,,
Macauley,Ntrials,2,90
,,,
Macauley,Ntrials,3,0
,,,
Macauley,Ntrials,4,30
,,,
Macauley,Ntrials,5,90
,,,
Macauley,Ntrials,6,0
,,,
Macauley,Ntrials,7,30
,,,
Macauley,Ntrials,8,150
,,,
Macauley,Ntrials,9,30
,,,
Macauley,Ntrials,10,150
,,,
Macauley,Ntrials,11,90
,,,
Macauley,Ntrials,12,0
,,,
Macauley,Ntrials,13,0
,,,
Macauley,Ntrials,14,30
,,,
Macauley,Ntrials,15,150
,,,
Macauley,Ntrials,16,90
,,,
Macauley,Ntrials,17,0
,,,
Corcoran,Ntrial,T0,60
,,,
Corcoran,Ntrial,T1,60
,,,
Corcoran,Ntrial,T2,50
,,,
Corcoran,Ntrial,T3,40
,,,
Benson,Kolb2,Field,74.5
,,,
Gruschow,North,Field,163
,,,
Gruschow,South,Field,163
,,,
villnave,3,Field,57
